Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS,25.28187495470047,0.8689034327864646,0.1832128744572401,11121170,290033
,24.969575196504596,0.8600638128817082,0.195298876427114,8199639,307496
,24.722667142748836,0.8515289105474949,0.2073271954432129,6576305,294150
