Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS-high,22.12420666217804,0.8042247740845931,0.23189973846862194,9019155,180446
CompGS-medium,21.815131570163526,0.7961641023033544,0.2435022648227842,7049937,182021
CompGS-low,21.492700432476244,0.7775044602783103,0.26493831849411914,5777777,171962
