Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS-high,26.243826806545258,0.7521168269217015,0.26015007868409157,12600718,285864
CompGS-medium,26.051587611436844,0.7392396993935109,0.2819454466924071,8634470,283460
CompGS-low,25.779643952846527,0.7235503308475018,0.3040084034204483,6875289,268981
