Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS-high,27.44865979750951,0.854784332215786,0.1322498466198643,30052698,770749
CompGS-medium,27.070243338743843,0.8408044760425885,0.1506567699834704,18590078,703035
CompGS-low,26.738098879655205,0.8284432525436083,0.16568896621465684,16163684,691780
