Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS-high,30.848979644286327,0.9103341053693722,0.23224075001019698,9278370,240401
CompGS-medium,30.13536964318691,0.8985351984317486,0.2536879248343981,7086418,247024
CompGS-low,29.876585159546288,0.8929494289251474,0.2633829560035314,5847586,271597
