Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS-high,31.798488720043288,0.9334750198029184,0.2190503730967238,12354263,408796
CompGS-medium,30.761009435395938,0.9218221390569532,0.23756922596209756,7996524,313734
CompGS-low,29.788050084500696,0.908371446583722,0.25581969409375577,5832390,197311
