Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
CompGS-high,29.092434040705363,0.8998637278874716,0.22010857780774434,10076150,243325
CompGS-medium,28.396446530024207,0.8872971737384796,0.23727541307608288,7295311,214951
CompGS-low,27.730643765131628,0.872740579843521,0.2567113356788953,5676186,183630
